,reviews_title,char_count,word_count,sentiment
470,done many times,34,6,Positive
471,fantastic story,18,2,Positive
472,makes thinkand feel,28,4,Positive
473,masterpiece,13,1,Positive
474,excellent series,18,2,Positive
475,really tried like much friends,52,11,Positive
476,decent show albeit somewhat overhyped overrated,55,7,Positive
478,really,10,2,Positive
479,intelligent thoughtful violent interesting,48,5,Positive
480,enjoyable point,22,4,Positive
481,faint heart,29,6,Positive
482,deserves credits,22,3,Positive
483,good great,21,4,Positive
484,playground politics grown ups,36,5,Positive
486,visually conceptually stunning,36,4,Positive
487,compelling,26,3,Positive
488,interesting premise thats expertly crafted around,59,8,Positive
491,stunning television,21,2,Positive
494,masterpiece,13,1,Positive
495,great job life,33,6,Positive
496,confused,18,3,Positive
499,worth watch,19,4,Positive
502,fantastic showbut,25,2,Positive
503,loved,10,2,Positive
504,great show definitely worth watch,38,6,Positive
505,totally unique thrilling series,35,5,Positive
506,1010,7,1,Positive
507,best new show current decade,37,7,Positive
508,great show plot twists,29,5,Positive
511,words,10,2,Positive
513,netflixs best series 2021,30,5,Positive
515,wanted give 6,26,6,Positive
517,exceptional drama,19,2,Positive
518,season 2 coming,21,4,Positive
521,brilliant,12,1,Positive
522,must watch battle royaleesque death series,52,8,Positive
523,first korean drama experience,35,5,Positive
524,putting,13,2,Positive
525,deserved popularity,21,2,Positive
530,stop westernisingstop creepy indian,38,4,Positive
531,disturbing,20,2,Positive
532,everything works,18,2,Positive
535,episode 6 best episode ever tv shows history,59,12,Positive
536,suspenseful exciting bit overrated,46,7,Positive
537,typical kdrama,26,4,Positive
538,world economic forum documentary,34,4,Positive
540,way win play,36,9,Positive
545,need strong stomach,23,4,Positive
546,must watch,12,2,Positive
547,scarily accurate,18,2,Positive
548,perfect originality,21,2,Positive
550,unique gripping loved,32,6,Positive
551,amazing,11,1,Positive
552,meh,5,1,Positive
553,awesomeloved,20,2,Positive
554,great visuals mediocre writing,34,5,Positive
556,absolutely loved,21,3,Positive
557,fine,11,2,Positive
558,solid,7,1,Positive
562,well deserved 10 rating,27,5,Positive
563,amazing,10,1,Positive
565,perfect decent show,30,5,Positive
566,whole lot fun prizes,47,11,Positive
567,insightful interesting,33,4,Positive
569,average thriller,27,4,Positive
570,nothing fabulous,18,2,Positive
571,make feel many things,35,7,Positive
572,banned,19,3,Positive
574,prepare anxious,24,4,Positive
578,almost perfect,16,2,Positive
579,takeshis castle armed munitions,39,5,Positive
580,entertaining though ending lacked,44,6,Positive
581,movie humanity,22,3,Positive
582,ending would given 19,54,13,Positive
583,entertaining,27,3,Positive
584,like show youre right head,54,11,Positive
585,fantastic show let 2 eps,41,9,Positive
586,daily life projection,23,3,Positive
588,perfectly crafted seemingly inspiring,44,5,Positive
589,last refreshing new story lines,45,7,Positive
590,disturbing formula well done great production,53,8,Positive
591,dissapointment,16,1,Positive
596,arguably best show nextflix,36,6,Positive
597,movies based reality life,33,6,Positive
598,film departs social reality,41,7,Positive
599,masterfully crafted story human nature desperation,62,8,Positive
601,flawed brilliant suspenseful,39,5,Positive
602,best show ive watched year,33,6,Positive
607,predictable awesome,26,3,Positive
609,original interpretation familiar concept,47,6,Positive
614,powerful yet flawed critique capitalism,48,7,Positive
615,recommend,14,2,Positive
617,must watch kdrama,22,4,Positive
620,brutally brilliant,20,2,Positive
621,come stay message,41,8,Positive
622,great suspense throughout ending worth,61,10,Positive
628,masterpiece,15,2,Positive
629,winner,17,4,Positive
633,binge watched day,27,6,Positive
637,everyone say thank park haesoo,37,6,Positive
638,great watch,15,3,Positive
639,,20,4,Positive
641,good nearly great show,24,4,Positive
642,unique innovation best,36,6,Positive
643,taskmaster meets battle royale meets purge,48,7,Positive
644,titanic nine episodes,28,4,Positive
645,woah,7,1,Positive
646,disturbing brutal entertaining,40,5,Positive
647,best series,24,5,Positive
648,nice show,16,3,Positive
649,first korean programme loved,32,5,Positive
650,enjoyable disappointing reveals,38,4,Positive
651,best show 2021,19,4,Positive
653,real sk drama,21,5,Positive
657,predictible enjoyable,27,3,Positive
661,bingeworthy,19,2,Positive
662,never let perfect get way great cult classic,56,11,Positive
663,good watch,14,3,Positive
664,thrilling ride,18,3,Positive
665,stylish,9,1,Positive
667,show lives hype,32,7,Positive
668,incredible show vips,37,5,Positive
669,spine chilling,21,3,Positive
671,intresting violent,28,4,Positive
672,good 2 episodes long,30,6,Positive
674,childish violence,19,2,Positive
675,exciting,10,1,Positive
680,enjoyed alive love,42,8,Positive
681,fizzles mid way,21,4,Positive
682,enjoyable addictive,35,4,Positive
683,give subtitles,22,3,Positive
684,great korean drama start watching,38,6,Positive
685,best show 2021,31,6,Positive
686,bit overrated,15,2,Positive
687,masterpiece,13,1,Positive
688,loved,19,3,Positive
689,revolvers,17,2,Positive
693,success mean,31,6,Positive
694,e1e7,7,1,Positive
695,great kdrama debut,23,4,Positive
696,one best web series,28,6,Positive
697,little overhyped decent,31,5,Positive
698,kids,17,3,Positive
699,possible outside hollywood,36,5,Positive
701,unusual violent series,28,4,Positive
703,damp squib,12,2,Positive
704,different alice borderland,31,4,Positive
705,set tofail,22,4,Positive
707,one finest show,33,7,Positive
708,tale human emotions debt praiseworthy drama,57,9,Positive
709,could 8 9,27,7,Positive
711,something new,15,2,Positive
712,complete dark series one would talk,54,10,Positive
713,wild ride ending left unsatisfied,46,8,Positive
714,lackluster doesnt follow rules,55,9,Positive
717,brilliant 100 watch korean subtitles,51,8,Positive
719,good show prefer alice borderland,45,8,Positive
720,greatest netflix original,31,4,Positive
721,best show ever,16,3,Positive
725,immoral,9,1,Positive
726,hard like,23,5,Positive
727,obsessed,10,1,Positive
728,see,33,6,Positive
729,best one long time,42,10,Positive
730,overhyped,11,1,Positive
731,main concept social exploitation watch forget,65,11,Positive
732,mesmerizing,13,1,Positive
733,best show year last 10 mins,52,11,Positive
734,show best described entertaining deep everyone saying,90,17,Positive
735,no1,6,1,Positive
736,wake,27,6,Positive
738,glossy fare torture aficionados,37,5,Positive
739,ok kung fu hustle better,40,8,Positive
742,modern take das capital,28,5,Positive
743,ignore naysayers,22,3,Positive
744,definitely worth watch,26,4,Positive
745,overrated,11,1,Positive
748,brilliant work last episode destroyed build,61,10,Positive
749,fuss,14,3,Positive
755,fantastic watch,18,2,Positive
757,overall great show,23,4,Positive
759,something new concept show thrill suspense backround score,67,8,Positive
760,striking footnote history,31,4,Positive
761,parasite meets hunger games,29,4,Positive
764,brilliant,11,1,Positive
767,deserves hype,30,5,Positive
769,one best series every watched,46,9,Positive
770,average series,16,2,Positive
775,great story,13,2,Positive
776,failed meet expectations,32,5,Positive
778,love,9,2,Positive
779,dont want spoil great series,45,9,Positive
780,good television could great,44,7,Positive
782,great show violent,26,4,Positive
784,overrated,11,1,Positive
785,worth time,17,3,Positive
786,best thing seen since remember,45,9,Positive
788,great,13,2,Positive
790,loved,11,2,Positive
791,great latter part season,43,8,Positive
792,average,14,2,Positive
793,goodfor,27,5,Positive
795,captivating,13,1,Positive
797,faint heart,28,6,Positive
799,anymore,31,6,Positive
800,overrated,13,1,Positive
803,solid 1st half rest boring predictable,45,7,Positive
804,entertaining show nothing spectacular,49,6,Positive
805,gore fest,11,2,Positive
806,well done death series,29,5,Positive
807,impressive dramatic traumatic,38,4,Positive
808,great show,13,2,Positive
809,early second season syndrome,30,4,Positive
810,big surprise,16,3,Positive
811,well written,16,2,Positive
812,dark,9,2,Positive
814,9510,8,1,Positive
816,hwang donghyuk right,32,5,Positive
818,excellent start disappointing finale,50,7,Positive
819,great start dissapointed ending,37,5,Positive
821,creative yet much grounded,40,7,Positive
822,great movie,13,2,Positive
823,time classic unique,31,6,Positive
824,takashis castle story severe consequences,53,7,Positive
826,instant classic,20,3,Positive
827,worth hype,22,5,Positive
828,awesome,10,1,Positive
831,amazing,9,1,Positive
832,beyond doubt cult classic,41,8,Positive
833,brilliant,11,1,Positive
834,meh,5,1,Positive
836,binge worthy battle royale hunger games modern day korea,64,11,Positive
837,fantasy story told many times less obvious plot points,75,13,Positive
838,amazing series,16,2,Positive
839,meh,6,1,Positive
840,smart intriguing,23,3,Positive
841,adult alice borderland,35,6,Positive
842,better alice borderland,34,5,Positive
843,loved,7,1,Positive
844,wasnt expecting anything surprised,45,6,Positive
846,captivating brutal critical message society,61,9,Positive
848,suspense key factor series,42,8,Positive
849,best show 2021,19,4,Positive
851,adult faint hearted,42,8,Positive
853,overrated series,18,2,Positive
854,highly recommended,20,2,Positive
856,deadly debtors prison pathological gamblers,50,6,Positive
858,world bestest show ever,25,4,Positive
859,overrated,11,1,Positive
861,netflix winner,22,4,Positive
864,must watch,13,2,Positive
865,shy perfection,24,4,Positive
868,overrated,11,1,Positive
869,surprisingly mindblowing,27,2,Positive
870,divides people,45,9,Positive
872,addictive exciting,24,3,Positive
873,basically hunger games,28,4,Positive
875,hard like,14,3,Positive
876,battle royale meets lost,26,4,Positive
877,little slow times,26,5,Positive
880,amazing tv series ever made,34,6,Positive
881,loved,10,2,Positive
882,parasite alice borderland,32,5,Positive
884,netflix hidden gem,20,3,Positive
885,plays mind,17,3,Positive
887,ending,14,2,Positive
888,entertaining,19,2,Positive
889,original,19,3,Positive
890,hunger games meet platform,36,6,Positive
892,breathtaking,14,1,Positive
893,kdrama shocked west,35,6,Positive
896,incredible immersive,27,3,Positive
897,gem,13,3,Positive
899,interesting overall great acting great set,48,8,Positive
900,changer,14,2,Positive
901,binge worthy,14,2,Positive
907,overrated,20,3,Positive
908,awesome,9,1,Positive
909,best series ever watched whole life,48,9,Positive
910,rubbish,9,1,Positive
911,perfect amount class gore,34,6,Positive
912,,12,2,Positive
913,brilliant web series watch 2021,39,7,Positive
915,completely overhyped,22,2,Positive
918,great show like,49,10,Positive
919,series great,26,4,Positive
922,great start awefull end,25,4,Positive
923,brilliant series,18,2,Positive
925,great,27,4,Positive
926,depressing masterpiece,24,2,Positive
928,worthy binge,15,2,Positive
930,nwo,5,1,Positive
933,deep meaning show lot foreshadowing,47,8,Positive
934,addictive different amazing series,48,6,Positive
936,binge watch worthy gripping ep 1,43,8,Positive
937,totally exaggerated ratings,30,3,Positive
938,childhood games deadly twist,37,6,Positive
940,best show seen,34,8,Positive
941,artistic integrity loses points,43,7,Positive
944,insightful heartbreaking exploration savagery capitalism,72,9,Positive
946,overrated overhyped,25,3,Positive
948,vipos,8,1,Positive
950,hard harsh horrific great movie,33,5,Positive
951,stephen king first,25,4,Positive
952,one best written shows time,43,9,Positive
953,nice,7,1,Positive
954,refreshing mixture many genres form brand new standard,67,12,Positive
956,bingeworthy,16,2,Positive
957,ok entertaining worth hype,44,8,Positive
958,bar continues sink easily amused,49,9,Positive
959,worth watch,20,4,Positive
960,overrated,11,1,Positive
962,last something refreshing,31,4,Positive
963,goodyesfantasticmaybe,36,3,Positive
966,strong start poor finish,27,4,Positive
967,strong start middle,32,5,Positive
968,big surprise hit 2021,26,5,Positive
969,engaging original,23,3,Positive
971,amazing,9,1,Positive
972,probably best netflix show,34,6,Positive
973,best netflix series last 5 years,37,7,Positive
976,marbles,21,4,Positive
977,awesome show wish 100 korean,43,8,Positive
978,blood gore social commentary,34,5,Positive
979,everyone know raving games,51,9,Positive
981,good way overrated,29,5,Positive
982,amazing,9,1,Positive
983,hype,14,2,Positive
984,simple metric rating show good,47,10,Positive
986,fully time waste predictable story thia web release 2015 2016 must hail,96,19,Positive
988,korean battle royale vibes,28,4,Positive
990,drama,15,3,Positive
991,people loving,33,5,Positive
992,true story,13,2,Positive
993,great show,12,2,Positive
994,masterpiece,15,1,Positive
996,best netflix series,21,3,Positive
998,brilliant perfect,27,4,Positive
1001,completely overrated,24,2,Positive
1004,backgrounds character matter,52,8,Positive
1006,entertaining overrated overhyped,42,5,Positive
1007,voiceover disney,24,3,Positive
1012,subtitles need accurate consistent,51,8,Positive
1015,interesting version hunger games,37,5,Positive
1017,disturbing emotional entertaining rollercoaster,51,5,Positive
1018,really loved vips,26,5,Positive
1019,people confused,21,3,Positive
1020,turn cruel selfish violent,48,10,Positive
1021,good movie violence bit graphic,43,8,Positive
1022,fast desperate humans turn murderers,52,8,Positive
1023,yet another show showcase pure evil hidden humans soul,74,14,Positive
1025,master piece,16,3,Positive
1026,korean actors nailed outsiders spoiled,48,7,Positive
1027,120 days,10,2,Positive
1030,,10,1,Positive
1033,recommended one time watch series,40,6,Positive
1034,brilliant,11,1,Positive
1036,entertaining thrilling,33,4,Positive
1037,slightly average,24,3,Positive
1038,absolute masterpiece,25,2,Positive
1044,good startbad ending,23,3,Positive
1045,captivating,13,1,Positive
1046,bit intense hunger games feel,36,7,Positive
1047,overrated expected high scored series,48,8,Positive
1048,exhilarating,14,1,Positive
1050,edge seat every episode,34,6,Positive
1052,great set design much else,37,7,Positive
1055,way overhyped,15,2,Positive
1056,typical overhyped netflix show,32,4,Positive
1057,never thought end series one day,51,11,Positive
1059,great work,12,2,Positive
1061,well made show,23,4,Positive
1062,whats hype absolute rubbish,48,8,Positive
1063,bloody series,15,2,Positive
1064,bloody,8,1,Positive
1065,one best show ever watched,42,9,Positive
1066,one best shows ive seen,45,10,Positive
1067,modern take hunger games,33,6,Positive
1068,nothing new nothing worthy,32,4,Positive
1072,good best,20,4,Positive
1075,overrated af,14,2,Positive
1077,nice concept,14,2,Positive
1078,wf,6,1,Positive
1079,outstanding watch asap,39,6,Positive
1083,awesome,14,2,Positive
1085,incredible,12,1,Positive
1087,incomplete masterclass,27,3,Positive
1088,good psychological horror thriller,36,4,Positive
1089,serie,22,4,Positive
1090,morbid unforgiving tragic,32,4,Positive
1094,hang,18,3,Positive
1095,overrated story told multiple times,45,6,Positive
1096,excellent commentary capitalism,36,4,Positive
1098,almost perfect,17,2,Positive
1100,best korean show ive seen,32,6,Positive
1104,awesome start finish,30,5,Positive
1105,great show,19,4,Positive
1106,65 point 7,15,4,Positive
1109,good bit overrated,26,5,Positive
1110,beautifully disturbing,24,2,Positive
1111,well made,11,2,Positive
1112,really enjoyed drama,28,4,Positive
1114,best series ages,23,4,Positive
1116,wouldnt play million,41,8,Positive
1117,one time watch,16,3,Positive
1119,great concept slow paced,31,5,Positive
1121,good short series,27,5,Positive
1122,everyone frothing mouth show,54,10,Positive
1123,great series,14,2,Positive
1131,really,15,2,Positive
1132,million says love,34,7,Positive
1133,best thing ever,22,4,Positive
1135,way violent disturbed,31,5,Positive
1136,netflixs best,24,4,Positive
1137,ignorance bliss,20,3,Positive
1139,interesting beginning,33,4,Positive
1140,amazing,9,1,Positive
1141,g,7,3,Positive
1142,series many positive points even small negative points seen,89,16,Positive
1144,kubrick,10,1,Positive
1146,deserves praise,21,3,Positive
1148,garbish,9,1,Positive
1149,awesome excellent mind blowing,36,4,Positive
1151,bizzare zero entertainment,46,7,Positive
1152,awesome series,16,2,Positive
1153,,6,1,Positive
1154,remarkable outstanding,28,3,Positive
1155,definitely worth time,28,4,Positive
1156,watch symbols,19,3,Positive
1157,overrated,17,2,Positive
1158,sum,20,5,Positive
1159,final,16,3,Positive
1160,blackpink popular,22,3,Positive
1161,well worth watch,20,4,Positive
1162,another great korean idea,27,4,Positive
1163,masterpiece,21,3,Positive
1164,fabulous,12,2,Positive
1165,unreal,11,1,Positive
1166,wonderful show way south korea world,59,11,Positive
1167,masterpiece,13,1,Positive
1168,loved show,16,3,Positive
1169,unpredictable impressive lines,37,4,Positive
1170,overrated good,20,3,Positive
1171,good overrated,20,3,Positive
1172,true reflection life,25,4,Positive
1173,great show,12,2,Positive
1175,overhyped ok show watch kill hours,58,12,Positive
1177,great show let things,39,8,Positive
1179,much plot hole plot armour,34,7,Positive
1181,great series doesnt,39,6,Positive
1182,series love,27,5,Positive
1184,hype ok good alice borderland,58,12,Positive
1185,interesting attracting,32,4,Positive
1186,pleasant joy,16,3,Positive
1187,great binge,13,2,Positive
1189,captivating breath fresh air,35,6,Positive
1190,really good flaws,28,5,Positive
1191,intricate amd twisted,28,4,Positive
1192,original,14,2,Positive
1194,,3,1,Positive
1196,great show,13,2,Positive
1197,joyride emotions,26,4,Positive
1198,incredible show,18,2,Positive
1199,kaiji without psychological complexity,44,5,Positive
1201,beautiful live action anime,31,5,Positive
1202,excellent script,18,2,Positive
1203,overrated,11,1,Positive
1204,thrilling complex still coherent,38,5,Positive
1206,anime kaijis korean version,30,4,Positive
1209,good worth hype,32,7,Positive
1210,massively overrated show,26,3,Positive
1211,loved reminiscent old boy audition,47,8,Positive
1212,absolutely amazing,20,2,Positive
1214,visually striking great story,37,6,Positive
1215,great movie ending didnt add,42,8,Positive
1216,enjoyable societycritical psycho thriller,44,4,Positive
1220,entertaining great,28,4,Positive
1221,crazy world,14,2,Positive
1222,captured red light green light,40,7,Positive
1223,must watch,19,3,Positive
1224,slow,13,2,Positive
1225,fan,11,3,Positive
1226,worth hype,20,4,Positive
1227,flawed worth watching,28,4,Positive
1228,great dramatic,16,2,Positive
