comment_er,level,comment_time,caption,content,support,object,feedback
清水はら,较差,2021-10-05 10:02:50,《鱿鱼游戏》与拉康欲望理论,当代左翼哲学家代表人物齐泽克，曾说自己最爱看好莱坞大片，因为他觉得流行的爆米花电影能最好地折射出资本主义意识形态的问题。网飞作为近年流媒体经济的领头羊，制作了许多具有极强话题度的电影。这段时间的《鱿鱼游戏》把大逃杀这个已经拍烂的题材搬上台面，套上了韩国文化,69,,13回应
豆友206413878,暂无评价,2021-09-22 22:46:20,噱头大于内容，消磨时间可以,感觉这部剧只能算是此类题材的中级版本吧。视觉上不够抓人，人物刻画也不够深刻。作为一部短剧，既没能在视觉上把人打蒙，也没能在剧情上产生共情。剧情转折有点牵强，也许是外国人看外国人思维不一样造成的吧。消磨时间可以看看，内容感觉一般，预告感觉挺新颖的，实际有点失,81,6,28回应
影探,推荐,2021-09-25 20:02:32,一夜火遍全球，网飞终于憋出现象级爆款,网飞出息了！沉寂好久的网飞终于打造出一部现象级爆款。播出当天就“破圈”冲上微博热搜，整个小长假都在持续热议。截至9月23日，它已经达到NetflixTVshow（网飞电视节目）世界榜第2名，美国区榜首。韩媒称它书写韩剧新历史，打造了一部世界爆款。烂番茄新鲜度100%。既,81,6,20回应
映心堂于玲娜,力荐,2021-10-22 09:57:06,鱿鱼游戏——一场成功的引诱,我从不在一部影视作品刚上线时抢“鲜”观看，只当它已经达到相当热度，风头都快过去时，才懒懒撸一遍，看看要不要写点什么。结果就是，如果我找不出一个特别的角度，就无法让自己的影评获得多少阅读量。如果我是鱿鱼游戏的参与者，恐怕会在第一局“一二三木头人”里发一会儿,18,,1回应
少丶年,力荐,2021-09-21 15:10:37,孩童和成年人的交友方式,剧情紧张刺激，很值得推荐。开头就是描述小时候和小伙伴一起玩游戏的场景，看完后去回顾这一幕，有种说不出的难受。我印象中第一次交朋友的场景是我大大方方地伸出手，跟别人说“我们可以一起玩吗？“长大后，”朋友“这个概念变得千奇百怪：是为了某一个利益的合作伙伴？是为,13,4,7回应
偶然时刻,还行,2021-10-01 13:06:52,《鱿鱼游戏》中的色彩及符号象征（严重剧透，慎入）,阅读指引：1.整体评价2.色彩2.1游戏之前2.2123木头人2.3抠糖饼2.4拔河2.5抓住违背规则的人2.6玩弹珠的色调3.象征3.1五个面具3.2生存游戏的偏向性3.3重点刻画的女性角色3.4平等3.5图形象征3.6符号化的人3.7小猪存钱罐3.8最后的晚餐3.9最后,22,1,9回应
羽翼年代,暂无评价,2021-09-19 19:47:24,现实就是地狱，大逃杀只是游戏。,犹豫了很久还是给了5星。其实论拍的水平最多也就4星的。但这个还是和同类的有些不同，所以还是想给高一点。一般这类题材的boss要么就是大魔王，要么就是人性之恶。但这部不同。男主最后选择了放弃，男二成全了男主，丈夫为了妻子自杀，新加入的妹子直接放弃了，就连老头也是留,31,3,12回应
名小川,推荐,2021-10-18 16:53:01,男性的故事还能讲多久？,已经听到不少人评论说《鱿鱼游戏》太套路了，早有《大逃杀》、《弥留之国的爱丽丝》等等珠玉在前，最显眼的元素不过就是杀戮。残酷到底的杀戮。用游戏做背景，人人穿上统一的制服，在蒙面人枪口的威胁下，变成斗兽场的兽，赛马场的马，变为一个冰冷的数字——假装这就是真实,31,5,2回应
waking王小心,推荐,2021-10-05 13:28:22,你在《鱿鱼游戏》中能活几集？,《鱿鱼游戏》在全球已成爆款，每个同事和朋友都在看。由于每个人看的进度不一样，我在周一例行线上聊天的时候无法剧透，只能说，第二集不是很好看，但第六集第七集特别棒之类。但不管怎么说，讨论的结果就是，韩国人继《寄生虫》之后再次扬眉吐气文化输出，用纯韩语、纯韩国人,7,3,27回应
液体棉花,推荐,2021-09-25 16:43:37,男主看得我皱眉头,留下的悬念：警察的哥哥，看名单应该是某一届的参赛者，为什么后来变成了游戏的主持者？警察到底死没死？还有孔侑饰演的扇耳光工作人员。btw，想说下男主，我觉得他能走到最后好不合理。他倒数第二局欺骗老头，也算间接杀人（虽然最后也不是）但他最后一局怎么好意思说尚佑害,30,1,44回应
小麂,还行,2021-10-24 19:05:14,火爆背后的,我们在有限的生命中，不断地追寻着人生的意义，活着的意义，个人的存在意义。按照心理学家的说法，我们无止尽地追求财富、权势，我们工作狂，可能都属于日常生活中对生命的意义探索，对死亡的焦虑的隐藏形式，是一种无意识追求意义的强迫行为。这种强迫行为背后，就引发了现代,2,,0回应
肆囍,力荐,2021-10-17 19:34:59,第二集彩蛋揭露了主角们的结局,这个彩蛋是外网一篇文章揭露的，个人觉得很牛逼，在这边分享一下！原文网址：[Massive'SquidGame'Episode2Eastereg,49,,9回应
大克子,力荐,2021-10-03 13:33:20,对导演构思意图的个人猜测,这类型的剧不少，但作品本身的戏剧张力和故事完整性，以及导演部署剧情的意图个人感觉是有很强水准的。导演对于人性的理解和人最终如何更好活下去有深刻反省。1、玩玻璃球游戏中的夫妻，活下来的丈夫选择自杀是导演对人与“非人”设置的一条分界线：如果夫妻间在面对二选一生,35,,2回应
欧富贵&LOL,很差,2021-10-01 13:00:40,我就是好奇，有必要做游戏？直接大逃杀模式或许这剧还有救。,可以把人物故事背景穿插到聊天对话里面吗？可以不要一直解释游戏规则让玩家自己去研究游戏漏洞吗？bug满天飞，剧情不止老套还很俗，这剧的闪光点到底在哪里？就六个游戏给我不断划水，看得我真的要睡着了。Netflix是不是把钱都花在宣发上面了？我只能说Netflix确实是有钱。实,13,4,13回应
太守君,力荐,2021-10-13 00:01:58,《鱿鱼游戏》：生死存亡,这部剧很火，在世界范围内很火，高居各类排行榜首，在weibo上也很火，多次冲上热搜。说明韩国影视确实有很强的实力，也说明更大范围内影迷对本片的认可，所以没有必要死抠哪个人物塑造不好，楼主稍微留意了一下，发现几乎每个角色都有人喷，何苦呢。楼主看得很爽，算一口气追完,4,2,0回应
qiuyan,推荐,2021-10-08 20:18:31,人性游戏,在这部电视剧中可以看到很多影视剧的影子，如电锯惊魂，大逃杀，越狱，大开眼界和发条橙等等。猜测导演是库布里克的粉丝，因为里面的配乐，服装造型和对于人性之恶的探讨都可以追溯到库布里克的电影。虽然有借鉴之处，但是也结合了韩国本土特色，拍得非常出色！拔河的那一段拍,2,,0回应
Know Thyself,暂无评价,2021-10-08 14:50:46,解密《鱿鱼游戏》红衣人组织,这是个原创作品，从这个角度来分析应该是全网第一人了吧（在百家号和今日头条的“爱智慧爱读书”账号首发）笔者有个爱好就是喜欢研究历史，尤其喜欢轴心时代，在那个时代里中外文明仿佛约定好一样，空前发达，百家争鸣百花齐放。在西方世界的古希腊哲学尤为引人注目。接下来我,36,5,10回应
島,还行,2021-09-28 12:32:01,一些微詞,老婆出產時即便有原因趕不回去也沒理由生氣。騙母親的錢也不給女兒買禮物，而是先去賽馬，每年答應的從來做不到，直到最後有了錢，還要為了“證明自己不是一匹馬”而背叛跟女兒的約定。被問到“有錢了做什麼”，回答的頭頭是道，卻沒有一句給母親治病。說要對女兒盡身為人父,27,3,8回应
blacksheeep,暂无评价,2021-09-25 19:58:53,我最喜欢尚佑,我是不是三观不正啊我真的好喜欢尚佑。在这种不是你死就是我活的环境里，在不同的情况选择组队或者单干，实现自身利益的最大化。有非常明确的目的性，并且从头到尾都没有对这个信念有过一丝的动摇，坚定不移的在实现自己的目标。这种人真的很自私可是我好喜欢啊……我很喜欢女,11,5,35回应
丧鸭,暂无评价,2021-09-22 22:55:43,从惊艳到失望……,先是在短视频平台上看到123木头人的片段，喜欢这种刺激的感觉，而且里面楼梯的色调也超级爱，赶紧找来资源，结果……看完就想说一句，全剧谁拿这钱都不过分，为什么是男主！先说我喜欢的1.几个游戏我最喜欢的就是123木头人和玻璃桥那里。刺激紧张，多迈一步就嗝屁的紧张感，,29,4,23回应
种瓜得瓜,推荐,2021-10-18 23:48:27,5句话总结这部剧导演要告诉我们什么,电影最好看的莫过于人性部分，刻画的淋漓尽致，既真实又没忘了弘扬主旋律。好的:1.子欲养而亲不待。这是我最大的共鸣，在你穷困潦倒时你可以啃老，妈妈也没意见，纵容你的任何错误，但是你拼命挣钱，功成名就，金多多时想起来要孝敬母亲时，发现她已经享受不了你拼命赚来的这,8,1,0回应
看电影看到死,推荐,2021-10-06 11:37:06,还相信人吗？对《鱿鱼游戏》的三个猜想,最近刷屏的韩剧《鱿鱼游戏》可谓是大火一把。据Netflix透露，自9月17日上线以来，《鱿鱼游戏》已登顶TVSHOWS总排名Top1，成为第一部登上榜首的韩剧。同时，该剧在国内也是热度不减。有人魔改中国版，有人挑战挖椪糖，有人卖起面罩和运动服周边。最搞笑的是，还有人将吴京的表,40,,5回应
江湖骗子,暂无评价,2021-10-03 19:31:59,童趣色彩下的地狱,感觉这部剧褒贬不一，看了下不满的原因感觉来来回回大多数是说不如日本类似的作品，而且这种题材日本都玩烂，然后又说不够烧脑，游戏太普通，但是就我而言正是因为简单才符合逻辑，这个是个资本的游戏，他就是诱惑普通人来参与这种规则一看就懂，几乎没有什么难度小孩的游戏，,11,,0回应
酒仙桥14号,暂无评价,2021-09-27 19:05:22,全网刷屏，这部19禁新剧看得我肾上腺素狂飙,近期最火的新剧，非它莫属了。刷爆全球热搜，打破网飞新纪录，更是创造历史。与此同时，它也争议四起，抄袭、融梗……评价褒贬不一。今天就来具体聊聊——鱿鱼游戏班底+卡司，绝对的王炸——网飞制作，黄东赫（《熔炉》《奇怪的她》）执导；李政宰（《新世界》）、朴海,13,2,7回应
王小洋,推荐,2021-11-03 01:08:50,一种婊气,趁着这两天有时间终于把《鱿鱼游戏》看完了。网飞始终是质量的保证，也是自由无限制创作的象征。个人感觉这部剧非常好，无论故事还是画面甚至调色都看到了人类整体电视剧水平的进步，反观现在很多国产剧都什么破玩意儿简直就是历史的倒退。不过《鱿鱼游戏》也不全好，抛出一些,1,,0回应
皮卡皮卡布,推荐,2021-10-18 23:06:22,笔记,#网飞有史以来播放量最高一部没什么新鲜隐喻和观点是真的，但整体还是不错，结尾略单薄，老头参与的理由撑不住（看了下韩语解析，男主妈妈和老头看名字应该有血缘关系，是留悬念的话就挺ok。感叹韩国文化输出的能力，也盼望我国影视艺术从业者们可以迎来自由表达与创作的这,1,,0回应
力总,力荐,2021-10-18 21:41:37,鱿鱼游戏：最强神剧八字解析,鱿鱼游戏。오징어게임，SquidGame。2021年秋季，由韩国黄东赫执导、李政宰主演的TV剧集《鱿鱼游戏》，自9月17日上线以来，仅十多天就收获了超过1亿的忠实观众，成为全球现象级爆款——故事讲述：在虚构的世界里，456名背景各异的玩家汇集一处，为4,1,1,1回应
东津,推荐,2021-10-10 12:38:57,别拿性命当儿戏？,曾经，富人拿穷人来赚钱；如今，富人拿穷人来取乐。剧中有句台词，很是刺眼：“你知道，身无分文的人与家财万贯的人的共同点是什么吗？就是人生毫无乐趣可言。”于是，赚够了钱的富人，在榨取完穷人的剩余价值后，开始榨取他们的快乐价值，把穷人的“人生毫无乐趣”转变为富,10,,0回应
vivi,暂无评价,2021-10-02 13:08:14,鱿鱼游戏：比《隐秘的角落》更加杀气腾腾（含部分剧透）,最近大火的《鱿鱼游戏》，微博16亿热度，网飞美国区点播第一，虽然有无数弹幕剧透，但看得还是紧张刺激。全明星的阵容，演绎复杂多变的人性：李政宰、朴海秀、李秉宪带动全戏主轴，其他年轻一辈的配角，包含漂亮厌世脸的模特郑浩妍、帅气形似许光汉的魏化俊等，还有孔刘客串，,4,,5回应
HelloIndra,还行,2021-09-24 15:27:25,这要是在中国根本不可能！不说全城摄像头了，晚上查酒驾的都让这些红衣服戴面具车内还有昏迷的人马上捉起来。。。。,大晚上的城市直接路边接人？？然后司机还穿个红衣服戴面罩？？然后车内的人还全部都昏迷的？？然后六七十辆一样的车还在大马路光明正大的开？？每次突然消失几百人不见了？？然后这种事情还能持续搞了十几年？？这要是在中国根本不可能啊！不说全城高清摄像头了，就说晚,35,29,175回应
lanyapeng,推荐,2021-09-21 14:44:19,一如既往大胆的韩剧,先吐槽几句，老头子是怎么从房间里出去到别的房间带面具的？是什么时候去的？这么大的bug。还有，警察那条线怎么断了？给警方发出去位置信息和拍摄的照片视频了吗？警察他哥为什么。。。？最后第六个二人对打的游戏很好看吗？必须做终极游戏？如果十几个人到了最后呢？过玻璃桥,3,6,24回应
臭小子,暂无评价,2021-10-17 17:26:16,这个游戏我们小时候也玩过,刚看完第一集开头，这不我们小时候也玩过的游戏吗？！是叫“攻城”还是什么来着……玩法如图所示，黑色是“城墙”，不能跨越。对角线有两个门可以出入，出“城”的人只能单脚跳，不能换脚，双脚着地便出局。目标是占领对方城内的“宝”，需要单脚出城，绕一圈从对方门口闯入，,4,,1回应
陈烨,推荐,2021-10-09 11:55:59,大家还是说说为什么会参加这个游戏吧,工厂倒闭，妻子改嫁，自己好赌。没钱真的太可怕了，女儿生日只能吃十几二十块的炸年糕，结合最后一集电视里说的负债率居高不下，我觉得自己屏幕开裂的ipadpro还能再战三年。紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯布丁紫薯,1,1,4回应
可爱后脑勺儿,还行,2021-10-07 14:28:48,鱿鱼游戏,这剧很像之前看过的一个电影，不记得叫啥了，也是绑一批人来，大佬们下注他们哪个能活到最后，承办方赚大佬们赌注的💰。不过那个剧最后不会有胜出者，所有人都会死，且都是虐死，最后一个人大佬们还会下注她死前会不会央求放过自己，甚至用的理由是什么，别人的命别人最后的,1,1,6回应
半夏生2014,推荐,2021-10-08 12:20:37,内卷国家的真实游戏，来自底层的利益搏杀。,刷过一众同类日本漫改作品的人一定会有中规中矩的感觉.但是这并非普通肾上腺素剧。爽剧里总会出现一个盖世英雄开了挂般披荆斩棘的主角（弥留之国诚如之流）那这个主角就显得有多拉垮疲软。一开始看起来毫不费力的善良到遇到挑战后暴露出怯弱自私，那点善良跟伪善貌似没啥区,2,1,1回应
废土行者,推荐,2021-10-07 17:39:34,【这不是影评】人性？,这不是影评，只是个人观后感电影把玩家的共同属性设定成债务，应该是有原因的。这片子应该也是在反思社会问题的。这部剧集把债务放在核心位置，如果没有债务，这群人不会被聚集起来玩生死游戏。虽然他们在经历第一场生死游戏后，都不想再参加游戏了，毕竟输了就得死。但是看,7,,0回应
Lynn777,推荐,2021-10-07 17:38:06,观《鱿鱼游戏》的一些疑问和一点感受,一、剧中的一些疑问1、男主圣人人设很突然。男主成奇勋，一个败家、啃老、不靠谱的中年男人，经过9集锻造，成为了一个追求正义、打击邪恶的平民英雄。他的善良、同情心虽然在第一集就有所刻画，表现在用身体挨揍换来的钱去救济路边的野猫。但经过一系列的猜忌、背叛、不择手段,6,1,4回应
安梦心理,暂无评价,2021-10-07 16:45:54,他们的结局仿佛早已注定,含剧透，请慎点。（以下观点仅个人理解）《鱿鱼游戏》中的参与者都是些什么样的人呢？首先，无一例外，他们都背负着巨额债务。其次，456位参赛者在受邀来到这里前，都和神秘男子进行了打画片的游戏，这无不说明每一位参赛者都有一定程度的赌徒心理，在经济如此困难的情况下,9,,0回应
无敌江湖骗子,较差,2021-10-03 21:03:11,对不起！好久没见这么恶心的男主了,对于这部剧的男主角我想狠狠吐槽一下！好久没见这么恶心的角色了！！一直看到456过完玻璃桥对金融男的那番控诉，我狠狠醒悟了，这男的就一圣男傻逼！一宗罪之装善良，你骗老爷爷的时候不是挺心安理得的吗？等于你也亲手把人推到枪口了哦，杀人了哦～二宗罪之装圣人，要是没,45,5,36回应
好耶,还行,2021-10-02 11:29:56,结局拉胯了,其实导演拍得不错，电视剧气氛带起来了，就算猜到大概结局也还是想往下看。就是编剧不行，游戏过于简单，能赢全凭运气。不讲智斗讲人性的话，中间也还可以，但是结局太拉胯了。全程最干净善良的是姜晓，想让真善美活下来那只能是她。男主在他一次次骗那个老头，逼迫老头必须玩,20,,21回应
Enchanted,力荐,2021-10-02 02:38:09,鱿鱼游戏 오징어 게임,人不是因为值得相信才得相信的是因为不相信，自己就无所依靠女人受到蔑视其怒火比地狱之火更可怕如果你可以在五分钟内满足我，我就改变你的人生。如果你可以在五分钟内满足我，我或许可以饶你一命。一二三木头人、扣糖饼、拔河、弹珠、过独木桥、鱿鱼游戏。童年的游戏,2,,2回应
巴塞电影,推荐,2021-09-27 14:48:59,孔刘开启杀人游戏，大咖云集夺命争金，韩剧又出爆款,近期上线外网流媒体、直冲豆瓣热门的《鱿鱼游戏》，是不错的追剧选择。1大概没有谁的人生比成奇勋更失败。年过四十还靠年迈的母亲供养，老婆带着女儿离婚再嫁，宁可让女儿喊继父当爸，都不愿意成奇勋来见孩子一眼。更糟糕的是，由于欠了一大堆高利贷，成奇勋被迫签署了一份,4,1,0回应
🌈💫涅槃🔅🦄🎈,很差,2021-09-24 03:57:19,鱿鱼游戏也许叫智障游戏营销有点过了,发布好看的，评分打高的，到底是水军？还是没看过好电视剧好电影？没错我就是一棒子打死，不接受任何反驳。前3集是有圈有点，真的不错！从第四集就开始扯了！刚开始你觉得男主很像大多数废柴，活的不太好的底层普通人的缩写。从第四集开始往后，你会觉得这个男主真是个脑子,14,2,22回应
世盖道格,推荐,2021-11-11 01:57:52,生死之界，人性之鉴,《鱿鱼游戏》是生死游戏，是搏命游戏，也是人生终极博弈游戏。游戏的形式是稚嫩的儿童游戏，但游戏的规则却是惨酷血腥，是殊死相搏的游戏。456个人处于人生边缘的失意人群，走进终极奖金456亿韩元，代价是1活455死的生死逃杀密室，进行一场你死我活的杀戮游戏。《鱿鱼游戏》生,,,0回应
邦德弃用阿灵顿,暂无评价,2021-11-11 00:15:56,什么时候能找回当年看越狱的感觉呢,鱿鱼游戏，6.5分。其中0.5分给到它在全球推广上获得的巨大成功。1/7看到韩国的文化内容近些年在全球遍地开花，内心酸且respect。只是可惜，火了的这些东西并不是他们最好的东西。无论《寄生虫》还是《鱿鱼游戏》，都是有着明显味精调剂痕迹的算计之作。2/7但从另一个角度,,,0回应
辛恒Echo,力荐,2021-11-10 22:35:47,游戏的背后都是反讽和寓意,鱿鱼游戏:1.互相残杀，奖金才会越来越多。破坏规则的人并不一定得到惩处（领别人的食物），打死人也被豁免。有委屈的人无法申冤，申诉叫喊只会死的更快。2.团队领导者也是自私的。并不真正爱惜队友。3.拔河。组队。队员的选择。4.信上帝的人更残忍。——“去找更弱的人,,,0回应
糟糠面包,暂无评价,2021-11-10 13:12:31,鱿鱼游戏,男主全程主角光环，相信人心，全程照顾她人，谴责男二为了一己私利占用欺骗他人，谋害队友。但他男主不也是和老头玩游戏，然后让老头输掉游戏了吗，输了游戏就得死，如果真的那么善良，不如一开始就让老头赢了比赛就好啦。前面的剧情比后面的剧情要好得多，可能后面看习惯了就,,,0回应
雨田2545,还行,2021-11-10 12:57:08,为了第二季，收尾生硬尴尬了,第一集的男主和第九集的男主基本是判若两人，这个转身既生硬又拉胯。抛开编剧和导演的智商，应该是选边站队屈从于市场了，第一季如此火爆，必须有第二季。为了第二季，男主只好生硬转身了。剧集整体还是很不错，虽然走的是套路：无聊富豪的狩猎杀人游戏，但是还是拍出了新意，,,,0回应
还没想好…,暂无评价,2021-11-10 10:52:51,人本来就是复杂的,小时候我们接受的教育告诉我们要善良，也有人相信人之初，性本善。后来长大了，我们发现自己也会时常与自己的良知斗争，路上捡到100元要不要装进自己的兜里，路过的老人要不要扶。除了这些似乎不会产生什么影响的“小恶”，还有人直接变成了另一个极端，通过杀人放火向我们证明,,,0回应
卷毛猫,暂无评价,2021-11-10 03:23:49,Sometimes feel tired,"SamsunggaveLeeByung-hyun,becauseIlikehim,andgaveJejuCP.Itwouldbeniceifyoucouldsurvive.ThemaleleadisthepersonIhatemostinlife,agambler,haveyoueverthoughtabouthowyourmotherwouldfeelifshecheckedhercardbeforeshed",,,0回应
胖皇尚,还行,2021-11-09 22:28:05,严重高估,朋友强烈推荐下看的，感觉很一般，尤其结尾的烂尾，剧情就好像是《大逃杀》和《饥饿游戏》的拼凑，并且缺乏逻辑性，开篇对贫富差距和生存焦虑的描述的确让我充满期待，可是仅仅只是停留在期待上了。浪费了我喜欢的李政宰、李秉宪和孔刘，对于黄东赫而言还是更擅长“写实”，这,,,0回应
福辰,还行,2021-11-09 21:51:18,这个故事里的游戏者，只有姜晓是不该死的,包括男主角奇成勋在内，所有游戏者都在害人。而且这个男主角尤其让人恶心，他真是一个彻头彻尾的伪善者白莲花，居然还总是一副教训人的嘴脸，看的气死我了！男主角奇成勋就是个自私鬼，从来只想着自己高兴，从来没有顾虑过身边其他的人。他一开始对自己女儿就总是撒谎，一次次,,,0回应
海德薇,暂无评价,2021-11-09 13:58:31,鱿鱼游戏,（评分：9.0/10分）鱿鱼游戏好看的。智英和姜晓这对CP，虽然结局不好，但私心认为不算悲剧。在两人认识的短短几天内，智英就愿意放弃生命成全姜晓，这特别珍贵。有人穷其一生也未必能遇到。爱意在我这里，比肉体的存留要更宝贵。一男在零点之前究竟有没有看到警车上下来的,1,,0回应
一起去闯荡江湖,力荐,2021-11-09 02:57:42,理智思考之下感觉男主人设扭曲，感性地带入电影画面，就塑造的还挺好,一般人是很难贯彻自己的道德的。落入这种场景，最大的可能也是像男主这样首鼠两端。没事了就爱心发作，危机临头，又昧下良心选择自私自利。只能说李政宰演技好，实在对他讨厌不起来。欺骗老人的那段戏，李政宰演的很纠结。要牺牲自己坚守道德底线，又不敢，但真要狠下心，又充,,,1回应
大路,力荐,2021-11-08 23:54:54,人间的名字是地狱,看完第二集的时候，感想是想赚钱。第二集的名字叫“地狱”，本来想看是多恐怖的游戏，结果第二集拍了一整集的人间。以各种方式穷途末路的人们最终自己选择走向了那个明知会死的游戏，寄希望于自己能成为456个人中唯一的赢家。游戏冷酷地告诉参赛者，没有任何人强迫，这是你自,,,0回应
H,力荐,2021-11-08 23:05:00,生活的意义！,“无论穷人还是富人的共同点就是，人生毫无乐趣可言”。听到这句话突然想到了我的高中那段时间，高三的某一天，平淡无奇学习中，突然生活的一种无趣感袭来，感觉一切都没了意义。不知道学习是为了什么，生活是为了什么？那段时间，虽然表面维持正常的生活，心却陷入了无意义的,,,0回应
法乌斯托,推荐,2021-11-08 13:34:06,我这个鱿鱼游戏的影评中心思想就是：怒批销售职业,特喜欢鱿鱼游戏里这主角，因为他特像我，就是个聪明但是贪玩的人，是那种单纯喜欢玩所以特别投入的去玩游戏的人。只不过是没兴趣钻营什么挣钱什么揽权这种事加上人又巨好，要么比那个庸俗的发小那种人厉害多了🙄️发小那种人，就很典型的属于我所谓社会上有一类“销售职业,,,0回应
憨憨,推荐,2021-11-08 10:56:53,鱿鱼游戏 人性之暗,第一眼觉得和动物世界同类型的一部剧，在最肮脏的地方挖掘人性，想起来那句话人性经不起推敲，别逼着我们将外衣撕掉，这样对大家都好。不喜欢老丑，很不喜欢1号，说话我都烦，小女孩和晓的死真的很让人难受，晓的死更是惊悚，如果开始就知道最后一人生还，不知道还有没有看下,,,0回应
庆真,推荐,2021-11-08 09:40:28,怎样找回游戏精神,长大了，会觉得小时候玩的游戏没意思了。为什么呢，因为玩那些游戏，木得钱也木得利，同时已经觉得技术含量低，不会刺激到自己也自然不会有乐趣。并且长大了的人，又必须按照枯燥的社会游戏规则养家糊口。于是，那些把社会游戏规则也基本玩通关的人，回忆自己最开心的事儿，觉,,,0回应
Chery,推荐,2021-11-08 09:16:53,第二集看完了，说说感想,并不是所有热播剧我都会看的，但这剧风评是真的好，连一向以吐槽闻名的油管者名影评人CriticalDrinker都说值得一看，所以我就看了。说实话自从妇联系列结束后，这几年对特效满屏的大片真的很不感冒。偶尔看到“鱿鱼游戏”这样的剧集，虽然是虚构的故事，但却十分接地气，一,,,0回应
