,user_name,reviews_title,user_reviews,rank
32,surfisfun," first half decent, then it feel overstay.the games lost it appeals by 5th one
","For those who did not understand the psychological projection of the series. Basically, The series discusses the brutality of the capitalist economy system in such a clever way that you'll definitely notice and say when you're watching ""that character is me!"".It is that under the dominance of the capitalist system all people are in a race to get money that only one person takes in the end. The same money that come from the blood and sweat of others.The capitalist system claims that there is equity And justice in the distribution of the wealth. And this is far from the truth.As for the big capitalists who control the big capitals and companies that run the entire process, money is no longer their pleasure. That they only find pleasure in people suffer.",7
33,Horror_Flick_Fanatic," Fun Horror Show
","This is a show that asks us a simple question - is mankind inherently good or inherently evil? The answers the show comes up with may surprise you. I loved all nine episodes - it was funny, tragic, violent, and suspenseful. There was some gore in this show - but it wasn't done without catharsis. The acting in this show is just tremendous, especially the lead actor. And the writing is excellent. One of the most important binge shows of our time.",8
34,abisio," On the same path but not as good PARASITE and not as violent as it looks like
",NAN,8
35,Movi3DO," Intense and entertaining thriller
","A pretty gripping show that has 7 solid episodes.Sadly it has one filler episode and falls apart a bit at the end, but for the most part it's a season that you can't stop watching.Definitely worth a watch and am recommending to my friends.Don't think it needs a second season but I imagine one will be made.",8
36,katyayan-12892," Life And Greed
","When he finally wins some money...only to lose it 3 seconds later, i turned it off and didnt come back for a while. But eventually I did and it is pretty good. Of course it drags 30 minute episodes into 1 hour long episodes..but its still good. Both twists were so predictable. The police brother and the old man were so obvious...and what is the message of the show...Being rich is just awful...lol Korea must have lots of poor people.",7
37,djurrepower," good
",Squid game is a great TV show and talk about a big problem in society and this is about money. The TV show talk about this theme trough all the episodes and how far will go someone without money and how far will go someone with money. I enjoyed the TV show: it have some great moments and heartbreaking sometimes. Some mysteries also and some big revelations. I enjoyed also the end who have more a psychological point and a different perspective of why they did all the stuff arround the squid game and i found it pretty believable and great to watch. I will recommend anyone to watch this TV Show. It was quite good.,8
38,SoumikBanerjee25," The Writing Steals the Limelight here.
","Perfect to binge watching, this series holds a gripping premise into a stunningly crafted, twisty plot full of turns and jaw dropping moments. While not really perfect, this is a perfectly fine Netflix entertainment. Totally recommended!",6
39,0w0," Starts out amazing... then by EP05 it loses its all drive
","I just watched this because the hype. I really enjoyed the series even it's predictable parts.First, acting is mostly great from main characters but some of the secondary are pretty amateurish.Second, the story and ideas are not original but are pretty well executed even I didn't like the overall conclusion.Last, I wish a bit of more risky script because there are only a few unpredictable situations or plot twists if you have watched similar series/movies.So, overall great but not perfect.",8
40,aboalhyjaa," For those who didn't understand **
","I mean, I'd say I liked The Hunger Games better - but not The Maze Runner. There's a real grimness to The Squid Games. Like The Platform. With every episode you're ground down deeper just like these poor saps who find themselves there. I liked it well enough though it was long and the characters pretty familiar to this genre. It does makes many apt comments about contemporary society - Ali's story is particularly sad as is Sae- Byeok's and the way we treat people just seeking a better life. I can't say I get the uproar of the series - Netflix's potential biggest- but it's worth a watch if you like dystopian stuff - and who doesn't?",10
41,RussHog," Excellent series
","This new take on an old story makes for a compelling mini series. . We tend to miss out on gems in the states due to poor or no dubbing and laziness. Movies like oldeboi and sympathy for lady vengeance felt groundbreaking then and so I can understand the hype for seemingly obscure South Korean entertainment rn. Then of course, because of the hype i almost missed out on this. So if your on the fence give it a go. Not quite as predictable as the same old .I appreciate Netflix making foreign shows more accessible.",9
42,bshaef," Overall, an excellent series
","So intense, so well crafted, so many meanings, dramatic, sadistic, emotional...television doesn't get much better than this.",7
43,chunkylefunga," Hidden Gem
","""Squid Game"" is definitely a slow burn in its first 2 episodes (but they do give you a taste of what's to come). As for the rest of the season, you probably won't be able to stop watching thanks to its story, characters, thrills, twists, games and, of course, gore.",8
44,garabedian123," The beginning is stupid but it gets better
","If you enjoy Korean movies then this is a must see. Has become a real hit, cool idea, interesting games and drama. Plenty of story to continue more seasons , I've got final 2 EPs left but have really enjoyed up to this point.",8
45,AvionPrince16," Nice TV show with some great moments
","Squid Game is a different type of show and I'm all for it! I really liked watching this the hidden message seems to be about the crisis of debt in south korea and just how far some desperate people are willing to do for some cash. I thought it was a very intense adventure that was followed, such an entertaining craft this show has been made into. I avoided the reviews upon watching, instead i decided to give it a go and I'm glad i did as its very engaging to the point you cannot watch one episode, this is definitely a bingeworthy one to catch as soon as possible, before the internet ruins it for you.I definitely recommend watching this, some moments will have you laughing although others will have you the complete opposite, it got me good on some parts in both ways.Check it out! Now on Netflix!",8
46,lareval," Great and addictive Netflix series
",Its different but the same basically a different take on the violent game shows were nobody really wins. Episode 6 was the best episode. If there's a season two it needs to be the revenge.,8
47,danielcereto," Great but not perfect
","Typical Korean ott actionand some real life back stories thrown in for good measure.Was good to see a non Korean, Ali Abdul, in this.Thoroughly entertaining and a great distraction from all the madness in the world.",7
48,Dragonborn64," Good Though Certainly Not Original
",Believe the hype this is one of the best shows to ever hit Netflix. Every episode gets better and better and the acting is spot on. The action scenes are beautiful the whole concept is crazy but in this case crazy works.,8
49,theknownames," Timeless story
",NAN,9
50,PedroPires90," Well done
","This tv show is very good to me, something different from what we are used to watch, for me is very original.",10
51,alcantaraj-16594," A BLOODY STORY THAT ISN'T FOR EVERYONE
",NAN,8
52,drpainters," Worth the watch
",NAN,10
53,BrnzReviews," I Loved Squid Game!
","This is the first Korean drama I've watched while I was absolutely blown away. There were a couple of moments where I thought the story dragged a little, however it was all added for tension I'm sure. It was absolutely stunning to look at and really well done. I can't wait to see what happens in the next series.",8
54,paulwattriley," Different but the same
",I loved this show for many reasons. The story was great I loved the concept and characters. The violence and gore was great too. The downfall is the bad acting at times it's kinda laughable bad. Overall a great surprise and I want more seasons even if it's with a new cast. I want more !!!,8
55,svader," Brilliant
","It's a breathe of fresh air to see actors not acting like god and stuck in attack-victimise-saviour loops.But by the 4th episode the main villain (in the game), after being really villainous, is treated like a hero and is given nearly all the screen time. The viewer doesn't want to see this guy anymore...After this, nearly all interactions are based on the villain being the hero, and the previous main story guy is treated like a lucky whimp, even though he is decisive and moral. The whole story turns into a confused cliche to skip through.",10
56,colewaters," Must watch
",NAN,4
57,President_George_Washington," FROM THE DESK OF GEORGE WASHINGTON
","The plot is similar to SAW and LOST. But,the Korean makers have given enough depth to the characters in this web series, that you feel for the characters even though it is predictable. There are enough shock value moments that keeps you hooked. Worth binge watching!!",7
58,backup-50362," Overhyped, but then again, there's not alot of good shows nowadays
",NAN,8
59,nicorip22," Good and original tv show
","Great show. Korean drama that is perceivable for N. American Audience. Similar story attempts have been made in the past, but this one has a great blend of Drama with a little unpleasantries.",9
60,DeBBss," More Than Surpasses the Hype
","The talk and reviews have me bewildered, I'm only up to Ep3 but am struggling after about 5 attempts to start bingeing.I find it boring and really childish, with pretty ordinary acting.The set design, art direction and general production values are very 1970's.Two more attempts then I'll give up.",6
61,AJ_McAninch," Over-hyped Netflix Production
","I was engrossed! Very interesting story and characters UNTIL the last episode. I just could have done without the boo hoo blah blah sentimental ""here is why"" explanation. I believe that was obvious. The most worthy of friendships in the game was ruined for me in the last episode.It's worth a go. It teaches age old lessons again but it's always worth learning them, again.",4
62,shanayneigh," Mixtape algorithm
",Wow!! No show has ever stressed me out as much as this one. It was seriously insane and crazy and hilarious all at once. Kept me on the edge of my seat that's for sure. It had me laughing and crying and terrified.,8
63,mikeiskorn," Wow
","Squid Game had one of the best concepts, with mystery around few people who participates in a game with millions to win. The story is simple yet creative and it works most of the entire series.The start was strong, with violence and bloodshed during the games which built an intense environment to leave us guessing what would happen next.The story went through well with a good last episode as well. But it still felt that it was not finished as it should have been ended, with an open ending hinting for Season 2 (Although I would have preferred this to end in a single season).",7
64,jakethesnake-42007," Great concept bad acting
","Season 1: Despite a notable lack of momentum during fair amounts of Squid Game's dialogue, Hwang Dong-hyuk's concept itself is extraordinarily compelling and fun. Especially during the dystopian child's-games sequences, the performances are incredibly lifelike and plenty of shocks are delivered. Seriously, minus the slow-burning dialogue, grab some snacks and you're ready for an unforgettable binge.If you liked this review, check out the full review and other reviews at aussieboyreviews.",6
65,mike-c-b," Best show out there for the first 3 episodes
","Well directed, pretty good writing, uneven acting (partly over the top theatrical, partly just as it should be), well produced and shot, keeps viewers' attention, slightly predictable at moments (and in general), masterfully edited and with an appropriate music score. As the tile says: good watch (but only once, since then you'll know ""the secret"", and the mystery will be gone forever).",7
66,tesswysko," The Further I Get In The Series, The More OBVIOUS It Becomes That This Is A DOPPELGANGER of ""Animal World!""
",NAN,10
67,deepfrieddodo," Phenomenal Korean Drama
",A large group of people who are down on their luck are invited to a game where all their money troubles can be solved. The only thing they don't know is that it will be a bloody battle for survival and they will each learn how far they will go just to survive. It is a little predictable in the overall concept but does have some surprises in leading up to the finale. Well acted and a reasonable pace over 9 episodes with a few plot twists keeps your attention.,9
68,sriramthestranger," Terrific survival drama!!
","Really fun concept of a show that takes time to develop the characters and make you care and understand them before the games begin. Started very strong up until episode 6, then went downhill with all the VIP stuff and plot twists and turns that undermined characters and story stuff earlier on. Has great production values and acting. Episode 6 was the best one by a mile, but the last three episodes were pretty weak overall and makes me a bit worried how Season 2 will turn out.8/10 for Season 1.",7
69,dommercaldi," Well-Acted, Engrossing, But Some Of The Writing Is A Little Too Sloppy And Pretentious
",NAN,8
70,shashrvacai," Great show
","Man! This show!Does everything right at the best times. Just when you forget some detail that would make you feel brilliantly smart, it comes back to whack you in the face!Like some of it's contemporaries it brilliantly fuses comedy and horror in the most psychological of way's and I must say, I really want more of this, and more like this.",5
71,efd-10467," Only up to Ep 3, after multiple attempts get going
","This is the first South Korean series I've ever seen. I really think it's a good one. The concept--similar to that of Hunger Games or Battle Royale, but they play children's games instead--is nothing new. But I really love how it's done.It's not really that scary. But it can be a bit disturbing. That mirror game is the only scary one. Episode 2 is the only one I didn't like much. I also wish the VIPs didn't talk. The acting is great, the characters are believable, making the viewers care for what's going to happen to them.Finale was quite anticlimactic, although I love that twist. It surprised be, to be honest.",7
72,laragi," All except the last episode
","Terrific show; a timely watch. While it certainly dabbles in issues regarding social status, I more so saw this show's narrative as a debate on society's morality and compassion. Mixing offbeat scenarios with unyielding brutality, Squid Game shows how desperate, callous and even savage humans can be when the conditions are met and that capitalism serves more as a byproduct of these behaviors. It asks the question: Does humanity still possess any decency in such an oppressed and unforgiving world? Highly recommend it. It's a breath of fresh air for anyone craving something unique. A gripping survival drama full of palpable suspense and sharp commentary.",8
73,gallagherkellie," So intense!!
","I really enjoyed this show. There are some weak moments, too much explanatory dialogue, the acting can get pretty cheesy a few times, but overall it's fantastic. I loved the ending, too, not sure why so many people seem to dislike it.",7
74,pranayjalvi," An innovative concept, but finished a bit hastily
","This is the first Korean web series I've ever watched in my entire life and I watched it just because everyone were talking about it and everyone were appreciating it and that's why I watched it and believe me, spending my life's almost 9 hours for watching this was worthy. It's really too good and I would say that it's for everyone, I mean it has everything starting from Suspense, thriller, action, blood, comedy, adventure, plot twists, most of all is emotion, horror each and everything and that's what makes this series perfect.",8
75,zac-04879," Compelling Originality!
","The peer pressure made me watch this. I wish this show came out about 10 years ago as some small part was predictable but was I surprised? Oh boy,I definitely was. Don't need a second season, but praise the creator and let him make more shows and movies. This was brilliant!",8
76,Maleplatypus," Good watch
","A number of excellent films have come out of South Korea over the past decade or so. Now this, a blinder of a TV series. Absolutely fantastic. Was thinking of cancelling Netflix but glad I didn't.",10
77,Olicosmic," A masterful series that showcases the feelings of humankind and the greediness of too much capitalism
",This was an absolutely unique and honestly surprisingly great show. For a show based out of a different country and filmed in a different language to still have this effect on everyone universally says a lot about how good it is. Excited for the next season.,8
78,TheVictoriousV," A masterclass with only a few hiccups
",The description says the players are vying for $45 billion dollars but the amount is really 45 billion Korean won or about $30 million USD.,8
79,danybur," Hell as salvation
",This was an interesting program but not as great as reviewers are making it sound. This show is about a bunch of deadbeat gamblers who are offered an opportunity to play a game where they either win a lot of money or die a violent death. Only deadbeat gamblers would take the option to play the game knowing only one person will ultimately survive to win the cash. Basically the plot shows how morally bankrupt the world has become and to me that is just sad. It isn't exciting and fun to watch hundreds of people die a bloody death. The fact that so many people found this show to be great is really sad too.,10
80,dumsumdumfai," Lord of the Flies x A man for all seasons...and one more
",Fantastic show. Hoping there will be a season 2. Really entertaining we were very roped in the whole time! Emotional at times. Check it out!!,8
81,alaningle7," Offence or Defence ?
","What a beautiful surprise we got here, Netflix usually makes cheap content, like in budget and in creativity, but this is one of the few great things Netflix release per year, like The OA or La casa de papel, Ozark etc.The quality of the script is top pitch perfect, as the characters construction, absolutely great games, very unpredictable, and the teams are more like a chess game, it doesn't matter if u have the strongest team in a tug of war, if u have a genius, an old wise man, fearless integrants, you can rock the way out of any situation, this show grew on me, I LOVED IT.",8
82,AdrenalinDragon," Two thirds great one third Squid drab
",The dose of enthusiasm and suspense is very beautiful .. but the end was supposed to be more beautiful.,4
83,peeedeee-94281," Squid Pro Quo
","Who needs to watch 455 people being murdered? Some odd messaging on capitalism and income disparity coupled with reality TV game shows. Hey ccool, look the losers don't just fall into a pool then fall into an incinerator. Give it pass.",8
84,nidhunmoviebuff," An ingenious, immensely bingeable thriller series!
",NAN,9
85,therskybznuiss," Everything Korea is now more interesting than Anything Hollywood.
",NAN,9
86,jp281995," Well-made film
",NAN,9
87,sirwillisiv," Intense and radically abstract...
","As far as I get this it's an amazing concept of mixing real lives and childhood games. So, excited about the 2nd season of this. All the best. Thank you.",8
88,fccs23521," Very good
",NAN,9
89,papanloveu," Favourite Player!?
",If you watched any of the most recent dystopian movie likes Hunger Games then you can pretty much figure out that no one is going to win in this. It is made clear that there is only going to be one winner so all the supposed teams are going to end badly so the friendships made are for the sole purpose of making the audience feel something. It kinda does work but it makes you feel manipulated at the same time.This is not a bad show and I can see why people like it. It has all parts to a great Netflix Original but I just felt manipulated while watching it.,10
90,nkishudak," The pressure
",NAN,10
91,Impman2," Another Korean hit
","A battle royale vibe with more to say about the world we live in. Well written, designed, acted and a credit (as if we needed another one) to Korean film and TV makers.",8
92,robawalker-77417," Original experience
",This show hooks you in from the start!!!! It makes you care about these characters and you form an attachment to them!!! The message and theme of this show is so powerful and relevant. I love this show so much!!,7
93,koofasa," The description of this show is wrong
",I binge-watched this one. Every episode was so addictive and tense.All episodes were very emotionnal. Then we reached the conclusion and.... what a letdown. Huge anti-climatic ending.I would still recommend watching it.,7
94,koofasa," Overrated
","Thrilling, astonishing and deceptive at the same time. Shockingly violent and discomforting but lacks of strength in the end.",10
95,saphira_dragon-80270," Excellent!
","Nothing new here but it's quite well done and engaging. There's more story and character development than you might expect from this story and that keeps it from just being generic. As with many shows, the English dubbing is bad: if recommend original Korean with subtitles. One nice thing is that because this is a series and not a movie, they're able to dig into the backstories more and that makes it more engaging and interesting than this may have otherwise been. A great addition to the genre.",10
96,jere_zabala," The secret is to have the right integrants in a team, not the strongest
",NAN,9
97,Ahmedfadil00," my opinion
",NAN,2
98,polsixe," Bad Taste Violence Porn
",The inclusion of the cheesy acting and writing in the VIP segment in the middle of so much quality work was the koreans trying to broaden american interest by recreating the cheesy acting and writing usually popular in american action movies...,7
99,FKDZ," Decent Korean Adventure Drama, emphasis on drama.
","Episode 1 was AMAZING!!!But things went downhill a little bit each episode. By episode 4, I was totally over it.I did watch all 9 episodes, because I'd already invested so much time into it. Plus, I wanted to see what all the social media hype was about...unfortunately, after all 9 episodes, I'm not seeing it.Didn't really need to be 9 hours long...would of worked better as one regular 90-minute film.",7
100,Radu_A," It's a ""Kaiji"" rip-off alright
","Well, before everybody was not talking about, I started to watch, it is different but I really don't understand why this happened so popular in everywhere. I watched better things from Korea. It is nice and different, simple games, good characterizations but for me there is a logical error, everybody hasn't equal standards in the game and we cannot talk about equality or justice. In an episode there was a dialog about that.. Anyway, it is nice and watchable.",6
101,JurijFedorov," A big concept not fully developed
","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.Season 1 : 9 episodesTop series for this year by far , the Idea💡 , the execution of the story 👏 , it shows how far need can take you and how greedy humans can be .My rating : 9/10 , IMDB : 8.2/10.",7
102,howboutthisone_huh," I smell racism
",NAN,10
103,richardwworkman," A straight up 10 from me
","This series has many of the elements that made Saw and The Hunger Games great, with enough unique iconic elements to earn its place as an instant classic in its own right. It makes you care about its rich, developing characters, played by charismatic and convincing actors. It masterfully balances extreme suspense with gruesome outcomes, but it also sneaks in endearing and comedic scenes when you least expect it. It makes insightful social commentary about subjects such as extreme financial disparities. It addresses depression and post-traumatic stress disorder. It features creative set design, props, costumes, and music that have already become the inspiration for countless memes. It will spur various conversations with your friends about all of these subjects and more.",9
104,POIguy," Squid Game . . . TV's next obsession?
","I only started watching because it pretty much blew up on the internet and it got me curious, and wow. I really didn't expect much from this but I was proven wrong really quickly. The basis of this show is something we're all familiar with: wealth inequality and the lines people are forced to and will cross for money, and it was the literal version of 'a rich man's playground'. The poor were just things for him to play with, for some fun and excitement. Anyway, the range of emotions I felt while watching the episodes was enough to leave me somewhat exhausted, but in a good way. Really, I gotta hand it to the team that worked on this because it was clearly a high budget and high quality production. Also, I know it's pretty rare for Korean shows to have more than 1 season, but that ending was hinting at a 2nd season, wasn't it?",8
105,vinayshri," Must watch.
","If you haven't seen Battle Royale, Gantz, As the Gods Will, Alice in Borderland and other japanese series, you will be amazed. I only watched with pain the 1st episode. It went slowly to the good part and I will continue watching. But it doesn't deserve the credit of its predecessors and whatever comes in next episodes will not make me change my mind.",8
106,Mike_T-Little_Mtn_Sound_Archive," Fantastic! But where's the Lee Byung-hun credit on IMDB?
",NAN,7
107,Nightmarelogic," Dystopian tropes
","Netflix K-drama might offer nothing new as a survival-show dystopian thriller but deft writing and fine craftsmanship made it worth the hype even for international audience. Some gratuitous violence over nail-biting twists and turns kept our interest till the end.Each contestants for some reasons had purposes due to rounded character developments. They took 'companionship' to next level including shocking revelations we could barely see. Convincing ensemble cast effectively triggered audience to pick sides in every deathly familiar games.My most to leave fave:
1. Tug of War
2. Glass Bridge
3. Red Light Green Light
4. Honeycomb Shape Cutting
5. Squid Game
6. Marble Games.",6
108,sini-200," Okay drama, weak ending
","With all the hype around it I was very interested in this series, but found myself somewhat disappointed. Yes, it is interesting enough to keep watching, but actually it is not that special. Yes there are some interesting plot twists but again, not really shocking. It is all a basic conflict of bonding with people that all go for the money, where apparently our hero is the only one with some moral feelings. The storyline with the detective did not add much and the VIPs were silly. The gangster is very stereotype and silly.There is a uprising in Korean series, this one is ok, but not special. ""Memories of the Alhambra"" and ""Sysiphus"" are much more intelligent in their script.",8
109,Spartan_1_1_7," An Enthralling Entertaining Experience.
","This is a great show at first i thought ""Squid Game"" what a awful name but i got tons of good recommendations to watch it so i did and it was GREAT!!! Acting was good and the plot wad always aligned you can pretty much but two and two together towards the end if your smart but for most who can your in for a big surprise anyway good show. I recommend all to watch this masterpiece.",9
110,stevelivesey67," Compelling and fun
","Violent and imaginative, the SG is fun to watch.People struggle with money and get a chance to play kids games turned deadly in a misterious place were everyone wears masks. Ruthless, people start to die in each game until one is left. Wich one?",9
111,snperera," I SEE WHY THIS SHOW IS SO POPULAR!
","If you've already watched Alice in Wonderland and As Gods will, you're gonna be disappointed.The first 4 episodes were good, the plot was promising.And then came the Second half, which felt rushed and the writers out of ideas....
The plot with the VIP was already seen many times and it felt awkward and ridiculous. And the rest was over dramatic and the ""plot twists""/reveals so typical...
I felt like I've wasted my time with this series....",8
112,fake_moviestar," Watch The Original Korean Dialogue!!
","Watch the first episode if you can't resist the marketing hype. You'll see it's a 3/4. But since these few points - due to the fresh storyline - are undeserved (it's heavily inspired by the manga-anime Kaiji, and still succeeds in throwing away its most brillant elements by replacing them with blood and scenographies), I'll give it a 1.Abysmal overacting, puppet characters, unrealistic and unrefined stuff. Even teens (which are the main target), once the novelty factor fades, will recognize that it's trash.",8
113,azanti0029," Battle Royale meets The Hunger Games
","Squid Game is a South Korean survival drama. I started watching the series after seeing the trailer thinking of it as a cool fun adventure thriller, instead, it turned out to be more of a hard-hitting human story. It has so much depth for a survival series genre which is mainly known for brutality and gore, which it has in plenty, but also adds to it with the writing having heart-wrangling social commentary.The writing and direction are class, the casting spot on, the music, set pieces as well as camera angle really add to the thrill. The only complaint I have is, it was two episodes too long, dragged in the middle.",8
